id,name,type,category,priority,executable,backend_primary,domains,dependencies,requires,installation_method,execution_command
77,gRPC,protocol,rpc,3,FALSE,"cpp, python, go",rpc,"cpp, python, go",,pip install grpcio,python -m grpc_tools.protoc -I. --python_out=. --grpc_python_out=. script.proto
78,Protocol Buffers,format,serialization,3,FALSE,"cpp, python, go",serialisation,"cpp, python, go",,pip install protobuf,protoc --python_out=. script.proto
79,Cap'n Proto,format,serialization,4,FALSE,cpp,serialisation,cpp,,apt install capnproto,capnp compile -oc++ script.capnp
80,FlatBuffers,format,serialization,4,FALSE,cpp,serialisation,cpp,,apt install flatbuffers-compiler,flatc --cpp script.fbs
81,Docker,tool,infrastructure,2,FALSE,api,conteneur,api,,apt install docker.io,docker run image_name
82,Kubernetes,tool,infrastructure,3,FALSE,api,orchestration,api,,curl -LO "https://dl.k8s.io/release/$(curl -L -s https://dl.k8s.io/release/stable.txt)/bin/linux/amd64/kubectl",kubectl apply -f config.yaml
83,Nix,tool,infrastructure,3,FALSE,cli,packaging,cli,,apt install nix,nix-build script.nix
84,NixOS,os,infrastructure,3,FALSE,nix,systeme,nix,,N/A (OS),N/A (OS)
85,Terraform,tool,infrastructure,3,FALSE,cli,infra,cli,,wget https://releases.hashicorp.com/terraform/,terraform apply
86,Pulumi,tool,infrastructure,3,FALSE,"cli, multi-language",infra,"cli, multi-language",,curl -fsSL https://get.pulumi.com | sh,pulumi up
87,Helm,tool,infrastructure,3,FALSE,cli,kubernetes,cli,,curl https://raw.githubusercontent.com/helm/helm/main/scripts/get-helm-3 | bash,helm install release chart
88,Ansible,tool,infrastructure,3,FALSE,python,automation,python,,pip install ansible,ansible-playbook playbook.yml
89,LabVIEW,language,visual,4,FALSE,graphique,"acquisition, temps-reel",graphique,,N/A (proprietary),N/A (proprietary)
90,Scratch,language,education,4,FALSE,graphique,education,graphique,,N/A (web-based),N/A (web-based)
91,Blockly,library,education,4,FALSE,js,education,js,9,npm install blockly,npm start
92,G-code,language,specialized,4,TRUE,interpreter,cnc,interpreter,,N/A,N/A (CNC interpreter)
93,PostScript,language,specialized,4,TRUE,interpreter,impression,interpreter,,apt install ghostscript,gs -q -dNODISPLAY -dBATCH script.ps
94,LilyPond,language,specialized,4,TRUE,compiler,musique,compiler,,apt install lilypond,lilypond script.ly
95,Qiskit,library,quantum,4,FALSE,python,quantique,python,1,pip install qiskit qiskit-aer,python script.py
96,Cirq,library,quantum,4,FALSE,python,quantique,python,1,pip install cirq,python script.py
97,Q#,language,quantum,4,FALSE,dotnet,quantique,dotnet,8,apt install qsharp,qsharp run
98,Brainfuck,language,esoteric,5,TRUE,interpreter,esoterique,interpreter,,N/A (minimal),brainfuck script.bf
99,LOLCODE,language,esoteric,5,TRUE,interpreter,esoterique,interpreter,,pip install lolcode,lol script.lol
100,Whitespace,language,esoteric,5,TRUE,interpreter,esoterique,interpreter,,pip install whitespace-python,python ws.py script.ws
101,GNiX Script,language,proprietary,5,FALSE,interpreter,"projet, bio",interpreter,,N/A (proprietary),N/A (proprietary)
102,Azimut,language,proprietary,5,FALSE,interpreter,"projet, bio",interpreter,,N/A (proprietary),N/A (proprietary)
103,Junior Lang,language,proprietary,5,FALSE,compiler,"projet, specification",compiler,,N/A (proprietary),python generate_tool_catalog.py
104,GoldNiLang,language,proprietary,5,FALSE,compiler,"projet, maths",compiler,,N/A (proprietary),N/A (proprietary)
105,Nikelìos Core,language,proprietary,5,FALSE,rust,"projet, interne",rust,4,N/A (proprietary),cargo run --release
